ano,parto,regiao,uf,grupo,criticidade,records
2016,CESARIANO,Nordeste,RN,3,2,73
2011,NORMAL,Sul,PR,2,2,72
2013,CESARIANO,Sul,PR,5,2,72
2013,NORMAL,Centro-Oeste,GO,1,2,72
2016,NORMAL,Nordeste,CE,5,2,72
2019,NORMAL,Centro-Oeste,GO,4,1,72
2010,CESARIANO,Nordeste,CE,5,2,71
2011,CESARIANO,Sul,SC,0,2,71
2012,CESARIANO,Sul,PR,1,1,71
2012,NORMAL,Sul,PR,5,2,71
2014,CESARIANO,Norte,PA,4,2,71
2014,CESARIANO,Sudeste,SP,2,2,71
2017,NORMAL,Centro-Oeste,MT,1,2,71
2019,CESARIANO,Centro-Oeste,GO,1,2,71
2019,NORMAL,Norte,RO,1,2,71
2010,CESARIANO,Norte,AM,4,1,70
2014,NORMAL,Norte,RO,1,2,70
2015,CESARIANO,Nordeste,PB,3,2,70
2015,NORMAL,Norte,AC,1,2,70
2019,CESARIANO,Centro-Oeste,MT,1,2,70
2013,CESARIANO,Nordeste,RN,3,2,69
2013,CESARIANO,Norte,RO,3,2,69
2019,NORMAL,Sul,SC,0,1,69
2010,CESARIANO,Sudeste,SP,2,2,68
2012,CESARIANO,Sudeste,ES,3,2,68
2013,CESARIANO,Sudeste,RJ,5,2,68
2013,NORMAL,Nordeste,BA,2,2,68
2014,CESARIANO,Sudeste,RJ,5,2,68
2016,NORMAL,Norte,AM,4,2,68
2018,CESARIANO,Norte,RO,1,2,68
2010,CESARIANO,Sudeste,RJ,4,1,67
2014,NORMAL,Centro-Oeste,GO,1,2,67
2014,NORMAL,Centro-Oeste,MT,1,2,67
2015,NORMAL,Sudeste,RJ,4,2,67
2012,CESARIANO,Centro-Oeste,GO,1,2,66
2012,NORMAL,Norte,AC,1,2,66
2014,NORMAL,Nordeste,BA,2,2,66
2015,NORMAL,Sudeste,ES,5,2,66
2018,CESARIANO,Norte,RR,2,1,66
2019,CESARIANO,Centro-Oeste,GO,4,2,66
2019,NORMAL,Norte,PA,4,2,66
2012,CESARIANO,Sudeste,ES,5,2,65
2014,CESARIANO,Sul,SC,0,2,65
2015,CESARIANO,Centro-Oeste,GO,1,2,65
2016,NORMAL,Centro-Oeste,MT,1,2,65
2019,NORMAL,Nordeste,BA,2,2,65
2019,NORMAL,Sul,PR,1,2,65
2010,CESARIANO,Nordeste,MA,2,2,64
2010,CESARIANO,Sul,SC,0,2,64
2011,CESARIANO,Sul,PR,5,2,64
2013,CESARIANO,Centro-Oeste,GO,4,1,64
2015,NORMAL,Nordeste,BA,2,2,64
2016,CESARIANO,Sudeste,RJ,3,2,64
2019,NORMAL,Norte,RO,2,2,64
2010,CESARIANO,Norte,PA,2,2,63
2011,CESARIANO,Centro-Oeste,GO,1,1,63
2011,CESARIANO,Norte,AC,1,2,63
2011,NORMAL,Sudeste,ES,0,2,63
2012,CESARIANO,Norte,RO,2,2,63
2013,CESARIANO,Nordeste,MA,2,1,63
2013,NORMAL,Centro-Oeste,GO,4,1,63
2013,NORMAL,Norte,RO,1,2,63
2014,CESARIANO,Centro-Oeste,GO,1,1,63
2018,NORMAL,Sul,PR,2,2,63
2019,CESARIANO,Norte,AM,4,1,63
2010,CESARIANO,Centro-Oeste,GO,4,2,62
2012,CESARIANO,Sul,PR,5,2,62
2014,NORMAL,Norte,AC,1,2,62
2016,NORMAL,Centro-Oeste,GO,4,2,62
2018,CESARIANO,Nordeste,MA,2,2,62
2018,CESARIANO,Nordeste,PE,3,0,62
2010,CESARIANO,Nordeste,BA,2,2,61
2010,NORMAL,Sul,PR,1,1,61
2012,CESARIANO,Nordeste,SE,5,2,61
2012,NORMAL,Nordeste,RN,3,2,61
2013,CESARIANO,Centro-Oeste,GO,1,2,61
2014,CESARIANO,Norte,AP,1,2,61
2015,NORMAL,Nordeste,PB,3,2,61
2017,CESARIANO,Nordeste,MA,2,2,61
2019,CESARIANO,Norte,RO,3,2,61
2011,CESARIANO,Sudeste,ES,0,2,60
2012,CESARIANO,Norte,RO,1,2,60
2012,NORMAL,Sul,PR,2,2,60
2014,CESARIANO,Nordeste,SE,5,2,60
2015,NORMAL,Norte,AM,4,2,60
2011,NORMAL,Norte,RO,1,2,59
2013,NORMAL,Nordeste,MA,2,2,59
2015,CESARIANO,Nordeste,BA,2,2,59
2017,CESARIANO,Nordeste,RN,5,2,59
2017,CESARIANO,Nordeste,SE,5,2,59
2011,NORMAL,Nordeste,PB,3,2,58
2012,CESARIANO,Norte,AP,1,0,58
2014,CESARIANO,Sudeste,RJ,3,2,58
2017,CESARIANO,Nordeste,MA,4,2,58
2017,CESARIANO,Norte,RO,2,2,58
2013,CESARIANO,Nordeste,BA,2,2,57
2016,CESARIANO,Nordeste,MA,2,2,57
2017,NORMAL,Nordeste,CE,3,2,57
2017,NORMAL,Norte,PA,4,2,57
2019,CESARIANO,Norte,PA,4,2,57
2010,CESARIANO,Centro-Oeste,GO,4,1,56
2010,CESARIANO,Nordeste,RN,5,2,56
2010,NORMAL,Norte,AC,1,2,56
2011,CESARIANO,Nordeste,CE,3,2,56
2013,NORMAL,Norte,AC,1,2,56
2019,NORMAL,Sul,PR,2,2,56
2010,CESARIANO,Norte,AP,1,0,55
2014,CESARIANO,Nordeste,BA,2,2,55
2018,CESARIANO,Nordeste,SE,5,2,55
2018,NORMAL,Sul,PR,1,2,55
2019,NORMAL,Nordeste,CE,3,2,55
2012,CESARIANO,Nordeste,RN,5,2,54
2012,NORMAL,Centro-Oeste,GO,4,1,54
2012,NORMAL,Nordeste,PB,3,2,54
2013,CESARIANO,Norte,PA,4,2,54
2015,CESARIANO,Sul,SC,0,2,54
2015,NORMAL,Centro-Oeste,GO,1,2,54
2017,CESARIANO,Centro-Oeste,GO,4,2,54
2018,NORMAL,Norte,AM,4,2,54
2011,CESARIANO,Centro-Oeste,GO,4,2,53
2012,NORMAL,Sudeste,ES,3,2,53
2014,NORMAL,Norte,RO,3,2,53
2017,CESARIANO,Nordeste,MA,2,1,53
2017,CESARIANO,Sul,RS,4,2,53
2017,NORMAL,Norte,RO,1,2,53
2018,CESARIANO,Sul,RS,4,2,53
2010,NORMAL,Centro-Oeste,GO,4,2,52
2011,CESARIANO,Nordeste,PE,3,1,52
2011,CESARIANO,Norte,PA,2,2,52
2012,NORMAL,Centro-Oeste,GO,1,2,52
2013,CESARIANO,Centro-Oeste,GO,1,1,52
2015,CESARIANO,Norte,RO,1,2,52
2016,NORMAL,Norte,PA,4,2,52
2017,CESARIANO,Norte,AC,1,2,52
2017,NORMAL,Sul,PR,2,2,52
2018,CESARIANO,Centro-Oeste,GO,4,2,52
2018,CESARIANO,Norte,AM,4,1,52
2019,CESARIANO,Nordeste,PE,3,0,52
