res_cod_municipio,int_cod_municipio,records
290680,290680,2955
292770,292530,2952
351640,351630,2948
130160,130160,2947
330350,330414,2945
172120,172120,2930
500295,500295,2930
230655,230655,2912
355450,355450,2909
314180,314180,2907
313440,313440,2905
317080,317080,2900
260140,261000,2890
292640,292640,2890
432150,432150,2886
160050,160050,2880
150630,150630,2871
313930,313930,2869
510480,510480,2869
431370,431370,2868
270320,270670,2866
351670,351670,2854
352840,355060,2854
230100,230440,2852
210690,210690,2848
500220,500220,2843
311330,311330,2836
500520,500320,2834
353880,353880,2833
261300,261300,2831
420230,421660,2828
292630,292630,2825
230500,230500,2820
430910,430910,2820
313010,310670,2814
251210,251210,2810
261350,261350,2807
290560,290560,2806
291730,291730,2804
210500,210500,2803
230690,230690,2803
411570,411570,2803
230440,230765,2800
330380,330380,2796
290290,290290,2795
290100,290100,2794
292520,292520,2794
410240,410240,2793
521460,521460,2791
261180,261000,2787
510140,510140,2787
230320,230730,2786
270410,270030,2784
316935,316935,2783
221110,221100,2777
316070,316070,2777
150442,150080,2772
310260,310260,2767
410580,410400,2765
231360,231360,2763
130180,130180,2762
421630,421630,2762
110013,110013,2754
250320,250320,2753
412090,412090,2752
521800,521800,2751
260345,261160,2748
310930,310930,2738
260940,261640,2737
211170,211170,2734
312510,312510,2733
313270,313270,2732
240100,240100,2730
330220,330220,2730
314560,314560,2729
354020,354020,2729
350270,350270,2725
150307,150230,2717
210750,211120,2716
330510,330455,2713
353030,353030,2710
320190,320190,2705
150619,150619,2702
353340,353340,2700
170550,170550,2698
500790,500790,2693
410720,410720,2691
353390,353390,2688
260200,260990,2687
280710,280350,2687
330430,330430,2687
292820,292820,2685
510020,510020,2680
210043,210043,2677
280130,280130,2673
315560,315560,2672
210090,220770,2669
411960,411960,2669
412220,410690,2668
311000,311000,2665
210900,210900,2662
240720,240720,2659
352410,352410,2658
210800,210800,2657
316200,316200,2657
110028,110028,2656
500500,500500,2656
211150,210043,2655
330185,330185,2655
351220,351220,2653
352270,352270,2652
353430,353430,2650
220550,221100,2647
250060,250750,2647
430466,431440,2647
230960,230440,2646
261460,260010,2644
270840,270800,2640
431730,431730,2635
421720,421720,2634
210230,210230,2624
280360,280030,2613
230100,230100,2612
317120,317120,2601
330350,330555,2601
220580,220580,2600
293070,292740,2593
421820,421820,2591
261530,261530,2588
270420,270030,2588
352480,352480,2588
130353,130353,2580
291840,261110,2577
330170,330250,2577
510630,510630,2574
221130,221130,2573
315280,315280,2573
420280,420280,2571
241200,240810,2568
330385,330290,2566
280760,280210,2565
292860,292860,2562
353440,350570,2557
315895,313130,2555
290850,291080,2552
313505,313510,2545
500635,500635,2544
430780,430780,2539
220270,220770,2534
240890,240890,2530
430280,430280,2527
330045,330170,2526
352500,350570,2524
330250,330170,2522
354220,354220,2520
330260,330260,2518
130380,130380,2515
290730,290730,2515
411125,411125,2515
350940,350940,2514
351440,351440,2508
521560,530010,2506
292580,292580,2500
220200,220770,2495
240145,240800,2494
354530,354530,2494
270910,270030,2487
330455,330510,2484
260680,260005,2481
431880,431880,2481
210220,210220,2480
270920,270030,2477
355020,352230,2477
150797,150797,2474
150655,150220,2468
420320,420320,2466
351880,355030,2465
250430,250430,2456
410640,410640,2456
330620,330620,2453
260230,260230,2452
260300,260300,2451
260880,260880,2448
313900,313900,2447
150304,150304,2446
270050,270430,2442
