CNES,records
2519879,4574
2315386,4571
4005732,4567
2795604,4566
0010499,4564
0004057,4563
2082632,4556
2711400,4545
2313057,4531
2026805,4517
2321637,4512
5108969,4500
2391635,4481
9046720,4481
2451565,4480
6753469,4472
2468271,4471
2801906,4465
2613379,4459
2655802,4459
2383233,4452
2811782,4446
2118459,4445
2331578,4436
4020014,4436
2261065,4432
2252228,4429
2306336,4426
7005660,4426
3569543,4425
2376091,4411
5018110,4407
2462192,4402
2078414,4400
2510391,4394
2267209,4392
3984338,4391
2011689,4388
2080354,4383
2080850,4381
2660091,4372
2134268,4370
2018128,4369
2639173,4369
9255826,4361
2078961,4355
2558289,4354
2103990,4351
2463954,4344
2451425,4340
6500552,4340
2011875,4333
6578373,4330
7366108,4318
2112175,4317
6871747,4315
2399989,4312
2747871,4300
2451573,4298
2465655,4294
2267713,4290
2529386,4287
2370816,4275
2741873,4275
2801922,4275
2569213,4274
2218690,4263
5608910,4262
2543435,4257
2370344,4246
2711893,4242
2723255,4241
2480654,4237
2442612,4236
2338378,4229
2756978,4229
5160251,4211
2079836,4207
2375826,4195
2733579,4188
2083256,4186
3518949,4177
3753387,4173
2028204,4170
2241161,4163
2451158,4163
2394316,4161
2012022,4158
7612990,4156
2742012,4155
2119404,4147
2562391,4147
2746387,4137
3137163,4137
2233398,4135
2402874,4132
2506254,4130
2078511,4121
2516047,4120
2080443,4111
2589230,4110
2543044,4102
2715317,4096
2530031,4095
2142406,4094
2333880,4093
2246740,4092
3269728,4085
2208903,4084
2513838,4081
2351633,4074
2387042,4074
2376458,4057
2178591,4054
2589214,4054
2080664,4040
3268020,4040
2537826,4039
2388928,4029
2476487,4028
2267187,4026
2547058,4026
2023644,4020
2674955,4016
2168731,4015
2262002,4015
2331756,4007
2316552,4006
2796392,3993
2219638,3992
2690764,3992
2577410,3989
2159376,3987
2312131,3985
2208075,3980
2765667,3980
2407574,3979
2576171,3965
2680807,3964
6043941,3960
2786095,3958
2151820,3955
6047955,3952
2023016,3947
2622475,3945
2127911,3939
2455625,3932
2351668,3920
2019523,3918
6602533,3917
2442965,3914
2693690,3913
2202891,3895
2257645,3894
2293633,3892
2339137,3891
2323680,3882
3001377,3882
3344320,3882
2740575,3881
2602962,3872
2691523,3856
2329913,3854
7708963,3845
2462095,3841
2084902,3837
4024303,3836
0000266,3832
2280396,3825
2469774,3812
7119232,3811
2223562,3805
2496534,3804
2427125,3799
5232511,3794
2340429,3791
2571072,3787
2650533,3787
2659603,3780
2087103,3776
2611864,3774
4022718,3771
7470371,3770
2083493,3764
2673886,3762
2409658,3752
2773333,3746
2021463,3741
2447886,3741
2360411,3740
2742039,3739
2796112,3739
2315300,3737
2603292,3725
2392704,3722
6847579,3722
7980051,3722
2117312,3721
2103257,3719
3689972,3719
2775913,3718
2082527,3708
2247062,3708
2616483,3708
2445352,3707
2802015,3707
2457156,3702
2791676,3701
2135108,3697
2750546,3694
2234416,3684
2774720,3683
2791749,3671
3014681,3671
2078538,3670
2374064,3666
2228610,3665
6823351,3663
2361078,3662
2499053,3659
2801574,3659
2087324,3658
2331292,3647
2263823,3642
2272695,3638
3152928,3638
2102587,3633
2208822,3633
2639068,3626
2701626,3613
2080745,3604
2079917,3594
2274299,3592
2601613,3591
2312174,3587
2639009,3587
2080257,3583
2777681,3579
2796562,3574
2646544,3573
4032497,3567
5384117,3557
2374226,3554
2601702,3553
2340704,3552
2307898,3548
5136385,3534
2753545,3518
3953238,3517
2561344,3510
2474751,3498
2577704,3498
0010502,3496
2012553,3495
2344289,3494
2392046,3493
2105365,3490
2559609,3487
2558017,3485
2423936,3481
2077558,3475
2556502,3474
2093502,3469
2561026,3467
2758091,3463
2808617,3459
3287777,3444
2364999,3443
2448203,3443
2697068,3425
2383209,3424
2398125,3411
2080095,3410
2380331,3407
2365480,3404
2185563,3397
2536293,3388
2760703,3386
2814056,3380
2089548,3378
6185177,3377
2772671,3375
2504537,3372
2557207,3370
2639246,3368
2534789,3367
2410478,3362
2702746,3362
2562170,3355
2553155,3348
2760436,3346
2282801,3344
2411415,3343
2082330,3338
2478080,3336
3656969,3336
2519348,3331
2703041,3330
2144026,3328
2206501,3326
2515520,3326
2510278,3325
2081814,3318
2079038,3311
2016605,3294
2376474,3288
2718707,3286
2450453,3282
2484366,3281
2458470,3280
2082748,3273
2019604,3272
2792974,3270
2413469,3269
2418967,3266
2285932,3260
2371782,3255
2461285,3255
2352133,3250
2461005,3244
2078864,3242
2328496,3239
0000452,3236
6683630,3230
7849184,3230
2807076,3224
2711419,3215
3003469,3213
2752611,3212
2135930,3211
2676044,3211
2745801,3208
2081393,3203
2615754,3191
2092395,3183
2707977,3179
2550032,3177
2638835,3177
2414872,3175
4023668,3173
0010510,3167
2021811,3157
2535432,3157
2702991,3154
2331012,3150
2316064,3149
2119463,3147
2438313,3145
4029607,3144
2317028,3141
6426247,3140
2079313,3139
2519429,3138
8013659,3128
2819139,3117
0018090,3114
2382431,3112
2708892,3110
2012804,3108
2288109,3105
2360470,3103
2652757,3103
8888888,3100
2183811,3099
3057496,3099
2639025,3094
2688700,3082
5426936,3078
2079879,3076
0000100,3074
2330997,3065
2118246,3064
2806339,3064
2453347,3058
2757214,3058
2233401,3053
2221543,3048
2383012,3048
2802252,3044
5129753,3044
2013320,3042
2536862,3042
2228688,3038
2082586,3036
2677598,3035
2532530,3029
2114763,3025
2299216,3022
2549182,3012
7758391,3012
6444954,3011
2084287,3007
2781816,3002
2414244,2998
2677571,2998
2554518,2994
2570823,2987
3557081,2982
4069099,2981
2397684,2979
7218656,2978
2192012,2976
6436870,2974
3563308,2971
2234432,2968
2472716,2967
2241145,2966
2537141,2966
2395908,2963
2079704,2962
2098326,2961
2494949,2960
2534967,2956
2722844,2952
2391503,2948
2514311,2944
2796619,2944
2342170,2943
2646676,2940
2323923,2936
2675714,2936
2597594,2934
2442620,2919
2810158,2917
2018381,2916
7274351,2916
2455463,2914
2331691,2906
2620103,2906
2236362,2904
2742020,2904
2600331,2902
5101344,2899
2562138,2896
9738754,2894
9488227,2888
3060616,2886
2058308,2885
2561328,2885
2660113,2877
2168553,2876
2164612,2874
2314436,2872
2622319,2869
2825856,2869
2460963,2868
6710158,2867
2717395,2866
9697217,2866
4028740,2856
2123061,2855
2084422,2852
2433877,2852
2339994,2841
2252198,2838
2281384,2824
6200702,2824
2017768,2823
5572924,2822
2084430,2820
2099209,2819
2660210,2814
2561395,2812
2514729,2810
2128012,2809
2793237,2809
2784637,2799
3018288,2797
3205282,2793
2078422,2791
3334678,2788
2275244,2782
4070070,2781
2720043,2779
3289826,2778
2144204,2775
2808668,2773
9170111,2772
9624864,2771
2761270,2767
3980057,2764
2139030,2759
6679528,2752
2016443,2751
2653699,2751
3560430,2750
3245500,2749
0010464,2747
0017612,2747
2775980,2743
2557509,2742
2761106,2738
2751674,2737
2272601,2735
2507129,2733
2558610,2732
2013614,2731
2330350,2730
2102765,2727
2232138,2726
2084309,2721
3913899,2718
2500388,2717
2015242,2716
2080532,2715
2363070,2715
2145685,2712
7039344,2712
2395428,2708
2300516,2697
2430495,2697
2555840,2695
2316048,2691
2080958,2688
7482450,2687
2205904,2686
2519089,2685
5678838,2683
2795299,2682
2474328,2681
4053214,2678
2412551,2674
2412713,2668
2594277,2668
0000021,2662
3048209,2660
2619946,2659
2103532,2657
2699850,2651
5448158,2647
2527693,2642
2603012,2640
2283328,2636
2208083,2633
2232189,2633
2317990,2632
2702711,2632
2472724,2630
2639122,2627
2418673,2622
2120410,2621
2572818,2621
2344246,2618
2814048,2617
2322706,2616
6677207,2614
2749149,2613
2081768,2611
2078716,2610
2506947,2606
2722399,2606
