CNES,records
2722380,2400
2804042,2400
2004976,2396
2016605,2388
2080745,2385
2375826,2381
2474328,2380
3205282,2379
2168243,2378
2561026,2374
8013659,2372
2171988,2371
2323559,2371
4020014,2369
2796619,2366
2197693,2355
2000636,2353
2114763,2351
6200702,2350
2719290,2349
2008106,2346
2526239,2343
2772752,2340
2149710,2336
2457156,2335
2080095,2334
2028204,2333
2089548,2325
2410141,2319
2620103,2319
4005759,2314
2337142,2313
2123061,2311
2381303,2303
2742020,2296
2119439,2286
2380331,2285
2808668,2285
2504537,2278
2674785,2276
2496534,2274
2013282,2272
2228610,2269
2413922,2269
2411415,2261
2761106,2255
2745801,2251
2646439,2250
2330350,2249
2301601,2248
2386879,2245
2323540,2240
2246953,2239
2498790,2238
2790610,2227
6048692,2225
2776022,2222
4020405,2222
2781700,2220
7947984,2217
2236362,2214
2082586,2213
2246740,2212
2513838,2207
4044916,2205
4029801,2204
7218656,2197
2678500,2190
2079704,2187
3289826,2187
3245500,2185
2200481,2184
2508222,2176
2702746,2173
2460017,2167
2077558,2165
2676435,2165
2445956,2164
2252228,2161
2412713,2161
0017868,2156
2761009,2152
2796384,2148
3048675,2146
2427176,2141
2660210,2141
2228602,2130
2090333,2129
2601591,2127
2560984,2126
2340038,2122
2015242,2115
2139057,2113
2397714,2113
2799820,2105
2751674,2104
2483424,2098
2678578,2098
6823351,2092
2508176,2079
2079313,2078
2079364,2077
2109034,2075
2183811,2074
2458055,2074
2483548,2071
2740575,2069
2448203,2066
2120402,2063
2168553,2061
2139146,2060
2277565,2060
2531771,2052
2078414,2049
2382466,2049
2474336,2049
2389584,2042
2081393,2041
5166292,2041
2772973,2039
5279003,2037
2118246,2035
2703505,2034
2079518,2028
2372517,2023
2410834,2021
2638983,2016
2302748,2013
2140063,2012
2280396,2010
2761254,2010
3654796,2010
2712059,2004
2081784,1999
2791692,1999
2381125,1998
2475227,1998
5844843,1993
2658372,1992
2080958,1991
2414872,1987
2324172,1986
2387131,1985
2772671,1983
2387263,1982
2425599,1980
2081814,1975
2461838,1974
5025729,1973
2344246,1969
2516764,1967
2078511,1966
2761270,1965
2308061,1962
5060761,1962
2017768,1961
2561336,1961
4032594,1960
2585057,1955
2590271,1952
2233401,1950
2449439,1950
2604426,1941
2414465,1940
2142406,1939
2312158,1937
2506572,1930
2018381,1929
2537826,1929
2764792,1928
2099233,1927
2702711,1920
2241161,1917
2331691,1913
2144026,1912
2715309,1910
2401665,1908
2460963,1907
2208822,1906
2371782,1904
2360470,1903
2653230,1897
2722399,1895
2168693,1893
2079879,1888
2587734,1880
2121808,1879
2431823,1868
2523310,1866
2639165,1861
2274299,1860
2549263,1859
2751011,1859
2499037,1854
2079178,1853
2153882,1853
2309602,1841
2391449,1840
2749149,1840
4028511,1837
2323605,1834
2524996,1834
3053857,1833
2616181,1825
2442965,1816
2695839,1812
2650533,1802
2460335,1801
2595125,1796
2363070,1794
2461765,1794
2008858,1793
2078449,1793
2721643,1793
2412276,1791
2330083,1790
4053214,1790
2582465,1789
2127695,1786
2376776,1786
2751003,1785
2638924,1781
7039344,1774
0010510,1765
2078546,1761
2081768,1760
2600854,1759
2646404,1758
2680971,1755
2364883,1751
2589214,1750
2228688,1746
2703017,1746
2675951,1743
2076934,1742
2783800,1741
2472716,1740
2316234,1739
2485729,1738
2207664,1736
2775980,1731
2313669,1729
2600730,1725
2117479,1722
2114143,1720
2081717,1719
2098407,1717
2708892,1711
2493330,1707
2529777,1706
2312107,1703
2460580,1701
2330997,1698
2413043,1697
2563460,1697
2519593,1694
2791684,1694
2761114,1690
2081105,1688
2309254,1678
2535157,1678
9627812,1676
2710447,1675
2611481,1671
2743388,1671
2764830,1670
5621674,1670
2697548,1669
3574261,1668
2371618,1667
2761238,1665
2252244,1664
2499975,1664
2620464,1658
2679469,1654
2016540,1652
2479710,1652
2751569,1644
2762544,1643
2102773,1642
2600714,1641
2391724,1640
2082187,1639
2772329,1639
2309580,1629
4054695,1627
4025148,1625
2249510,1624
2323931,1623
2454750,1621
2083027,1618
2257645,1612
2435802,1611
2461234,1610
2378213,1606
2436205,1606
6559476,1606
5466601,1605
2472724,1604
3567486,1604
2613549,1603
2269783,1601
2703351,1601
2433877,1598
2523051,1597
2601117,1595
6844138,1595
2334801,1592
2372819,1591
2099209,1583
2309513,1583
2595265,1581
2702703,1580
2638894,1579
2613751,1574
2810158,1568
2167379,1567
2726688,1566
2135914,1560
2149419,1560
4070070,1560
2493195,1557
2340526,1556
2774216,1555
2777592,1555
2375680,1551
2558610,1549
2760940,1547
2549905,1544
2374439,1543
2601397,1543
2525259,1541
2376873,1540
2387700,1540
2722372,1538
2128012,1537
2144166,1537
2009625,1536
2620111,1536
2285932,1531
2505886,1531
2319276,1528
2776030,1528
2620006,1526
2227665,1525
2119447,1524
2079283,1520
2536935,1517
2348179,1516
2461153,1511
2577283,1511
2677040,1510
2365405,1505
4022807,1505
2601567,1501
2601400,1500
2395274,1495
2499029,1495
2490935,1494
2080478,1493
2753979,1493
2365022,1491
2475847,1491
2755173,1487
2248247,1486
2091267,1484
2172836,1480
2796430,1479
2092980,1478
2531933,1476
2464268,1474
2582554,1472
2437023,1470
2558262,1468
2382431,1467
2555840,1466
2117096,1465
2293633,1465
2192128,1460
2707977,1460
2246767,1453
2563487,1453
2142627,1448
2645157,1447
2639211,1446
2365251,1444
2703084,1443
2588188,1438
7486596,1437
2442612,1436
2460432,1436
2639254,1436
2315300,1434
4023536,1432
2004259,1429
2241145,1428
2321122,1428
2092638,1426
2792451,1426
2484676,1425
2083264,1423
2172852,1423
2082934,1419
2678322,1417
2796376,1414
2448173,1409
2281384,1405
3354423,1405
2498731,1403
2345374,1402
2314061,1400
2244225,1398
2124289,1395
2576430,1393
2652099,1393
2328542,1392
2801582,1392
5968496,1392
2804638,1391
2678624,1389
2691558,1387
2802473,1387
2646617,1386
2717395,1386
2602636,1383
2524805,1371
2639092,1370
2694603,1370
2143127,1369
4001958,1368
2372487,1365
3940829,1365
2765098,1362
2082306,1356
2638959,1356
2016354,1354
2098156,1353
2509245,1349
2537850,1349
5077680,1348
2653125,1346
2465108,1345
2400901,1344
2753774,1344
2080508,1340
2597586,1340
2729547,1340
2382474,1339
2733633,1338
2664151,1337
2311445,1336
2000393,1335
0003972,1334
2702975,1334
2244322,1333
2712016,1333
2802074,1333
2236354,1327
2627256,1326
2304538,1325
2312298,1325
2371197,1325
2694301,1325
2079461,1323
2381990,1322
2584573,1322
2324075,1321
2365103,1321
2675714,1321
2357445,1320
2483998,1320
2304848,1319
2753960,1319
2760681,1319
2523132,1318
2449552,1316
2508915,1316
2687089,1316
2143852,1315
7354606,1315
2088525,1314
5749018,1314
2696002,1311
2144557,1310
2445204,1310
2738120,1309
2011166,1307
2536838,1305
2331101,1304
3024628,1304
2178982,1303
2587785,1296
2281589,1294
2431106,1294
2383942,1293
2549328,1293
2286289,1290
4026608,1289
2324261,1287
2455463,1285
4024222,1283
2139103,1280
2179172,1276
2764784,1275
2121514,1274
2267802,1274
2338378,1272
2586061,1272
2080842,1271
2330946,1263
2686929,1263
2538342,1261
6389104,1261
2228734,1259
2302330,1258
2601575,1258
2009161,1256
2558246,1255
2722356,1249
2389398,1248
2536587,1245
2344858,1242
2699966,1242
2119501,1241
2318172,1238
2793237,1238
2227673,1235
2205866,1233
2354845,1232
2646676,1232
2678233,1232
2120542,1230
6945368,1230
2181029,1228
2793903,1228
2602571,1226
2383012,1224
2525062,1224
2019604,1222
2269384,1219
2664984,1219
2102579,1218
2504545,1218
2748231,1217
2538571,1216
2139626,1214
2081385,1208
2602172,1207
2547317,1206
2808587,1205
2005360,1201
2084023,1200
2377616,1200
2764806,1200
2474506,1199
4026675,1197
0000434,1196
2208067,1196
2583712,1195
2602652,1194
2461897,1193
4022750,1193
2476827,1192
2737531,1192
0010464,1191
2588242,1188
2349574,1187
2715228,1187
2415623,1185
2016419,1182
2093502,1182
2392968,1182
2561298,1182
2589230,1181
2205882,1176
2715163,1175
2753545,1175
2082438,1174
2053519,1173
2753804,1173
2316366,1172
2144042,1170
2703092,1169
9461493,1168
2340194,1167
2747693,1167
2227770,1166
2250829,1166
2571757,1165
2547090,1164
2328968,1163
2760738,1163
2778831,1162
2079348,1159
2696940,1159
